suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity,combo_000_s2,single,hot_b64_bp3_r100_dtlb_512m_pstr_n524288_p131072_np4_l1_sp33,218121746,11281013,2021404,394,1518638,776,1518638,41,776,738,76,37,778732,640733,2174516,665652,3295736,1754220,666511,641305,1284302,1206797,0.0517,,0.0005,0.0000,0.9510,0.4868,0.8228,0.3061,0.5323,0.9622,0.9397,,179.1864,0.0349,134.6189,0.0688,134.6189,0.0036,0.0688,0.0654,0.0067,0.0033,69.0303,56.7975,192.7589,59.0064,292.1489,155.5020,59.0825,56.8482,113.8463,106.9759
combo_linearity,combo_000_s2,single,itlb_f4096_l1_r100_cold_4m_nstr_n524288_p1024_np512_l2_sn64,11227520289,850220723,61511332,10238055,253340637,121343632,253340637,41906725,121343585,121338940,41913294,40938501,137419366,32562292,168820486,10599879,554919564,300501243,10620143,10483740,175631492,676873,0.0757,,0.4790,0.1654,1.0000,0.9767,0.2370,0.0628,0.5415,0.9872,0.0039,,72.3475,12.0416,297.9704,142.7202,297.9704,49.2892,142.7201,142.7146,49.2970,48.1504,161.6279,38.2986,198.5608,12.4672,652.6771,353.4391,12.4910,12.3306,206.5716,0.7961
combo_linearity,combo_000_s2,canonical,hot_b64_bp3_r100_dtlb_512m_pstr_n524288_p131072_np4_l1_sp33+itlb_f4096_l1_r100_cold_4m_nstr_n524288_p1024_np512_l2_sn64,11567860507,861491014,63531531,10234686,249614987,121553478,249614987,41916451,121553435,121548479,41928507,40945501,138371161,35180039,170158519,11267790,566547368,311810770,11277168,11119482,185928614,3323244,0.0745,,0.4870,0.1679,1.0000,0.9766,0.2542,0.0662,0.5504,0.9860,0.0179,,73.7460,11.8802,289.7476,141.0966,289.7476,48.6557,141.0966,141.0908,48.6697,47.5286,160.6182,40.8362,197.5163,13.0794,657.6358,361.9431,13.0903,12.9073,215.8219,3.8575
combo_linearity,combo_000_s2,shuffle_itlb_f4096_l1_d4_cold_4m_ns_n524288_p1024_np512_l2_r100_sn64_hot_s4096_bp3_dtlb_512m_ps_n524288_p131072_np4_l1_r100_sp33,itlb_f4096_l1_r100_cold_4m_nstr_n524288_p1024_np512_l2_sn64+hot_b64_bp3_r100_dtlb_512m_pstr_n524288_p131072_np4_l1_sp33,11837692840,861491014,63531531,10246915,249910952,121446858,249910952,41916661,121446835,121434678,41930205,40947867,138556335,34234718,170968422,11268391,570328290,313386133,11279091,11121529,187668854,3611943,0.0728,,0.4860,0.1677,0.9999,0.9766,0.2471,0.0659,0.5495,0.9860,0.0192,,73.7460,11.8944,290.0912,140.9729,290.0912,48.6559,140.9728,140.9587,48.6717,47.5314,160.8332,39.7389,198.4564,13.0801,662.0247,363.7718,13.0925,12.9096,217.8419,4.1927
combo_linearity,combo_000_s2,sum,hot_b64_bp3_r100_dtlb_512m_pstr_n524288_p131072_np4_l1_sp33+itlb_f4096_l1_r100_cold_4m_nstr_n524288_p1024_np512_l2_sn64,11445642035,861501736,63532736,10238449,254859275,121344408,254859275,41906766,121344361,121339678,41913370,40938538,138198098,33203025,170995002,11265531,558215300,302255463,11286654,11125045,176915794,1883670,0.0753,,0.4761,0.1644,1.0000,0.9767,0.2403,0.0659,0.5415,0.9857,0.0106,,73.7465,11.8844,295.8314,140.8522,295.8314,48.6439,140.8521,140.8467,48.6515,47.5200,160.4153,38.5409,198.4848,13.0766,647.9561,350.8472,13.1011,12.9135,205.3574,2.1865
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_001_s2,single,cold_b16000_d1_linear_dtlb_32m_pstr_n65536_p8192_np8_l1_sp129,56208619214,4480312001,480071603,160767453,2528831491,329402224,2528831491,5192624,329401974,329344545,5204045,5190611,1032952431,202056851,1914735550,162622248,1647917638,848130389,164040577,161861350,516575124,144867084,0.0797,,0.1303,0.0021,0.9998,0.9974,0.1956,0.0849,0.5147,0.9867,0.2804,,107.1514,35.8831,564.4320,73.5222,564.4320,1.1590,73.5221,73.5093,1.1615,1.1585,230.5537,45.0988,427.3666,36.2971,367.8131,189.3016,36.6137,36.1272,115.2989,32.3342
combo_linearity,combo_001_s2,single,hot_b128_bp3_r100_dtlb_32m_pstr_n32768_p8192_np4_l4_sp17,1047889213,26000951,3941393,493,3422163,3116,3422163,49,3116,959,178,44,5268733,5113654,15621779,5145436,26161349,10572589,5148384,5111053,10380918,2705749,0.0248,,0.0009,0.0000,0.3078,0.2472,0.9706,0.3294,0.4041,0.9927,0.2606,,151.5865,0.0190,131.6168,0.1198,131.6168,0.0019,0.1198,0.0369,0.0068,0.0017,202.6362,196.6718,600.8157,197.8941,1006.1689,406.6232,198.0075,196.5718,399.2515,104.0635
combo_linearity,combo_001_s2,canonical,cold_b16000_d1_linear_dtlb_32m_pstr_n65536_p8192_np8_l1_sp129+hot_b128_bp3_r100_dtlb_32m_pstr_n32768_p8192_np4_l4_sp17,58122887830,4506302301,484011803,160357678,2302621427,329549469,2302621427,5202092,329549234,329514219,5216968,5199456,1022044900,239137002,1864456199,167794533,1670333236,862207640,169049844,167062569,522749980,163606241,0.0775,,0.1431,0.0023,0.9999,0.9966,0.2340,0.0900,0.5162,0.9882,0.3130,,107.4078,35.5852,510.9780,73.1308,510.9780,1.1544,73.1307,73.1230,1.1577,1.1538,226.8034,53.0672,413.7441,37.2355,370.6660,191.3337,37.5141,37.0731,116.0042,36.3061
combo_linearity,combo_001_s2,shuffle_hot_s8192_bp3_dtlb_32m_ps_n32768_p8192_np4_l4_r100_sp17_main_b16000_d1_lin_dtlb_32m_ps_n65536_p8192_np8_l1_r100_sp129,hot_b128_bp3_r100_dtlb_32m_pstr_n32768_p8192_np4_l4_sp17+cold_b16000_d1_linear_dtlb_32m_pstr_n65536_p8192_np8_l1_sp129,53899674325,4506302290,484011800,160307126,2313590390,329330208,2313590390,5201640,329329936,329295584,5211966,5200047,1029586846,236994861,1917741226,167793619,1675182764,862482636,168965890,167026086,524077438,133276699,0.0836,,0.1423,0.0022,0.9999,0.9977,0.2302,0.0875,0.5149,0.9885,0.2543,,107.4078,35.5740,513.4122,73.0821,513.4122,1.1543,73.0821,73.0745,1.1566,1.1539,228.4771,52.5919,425.5687,37.2353,371.7422,191.3948,37.4955,37.0650,116.2988,29.5756
