line_no,case,order_tag,modules,kept_metric_count,over10_count,over20_count,worst_metric,worst_rel_pct,worst_combo_mpki,worst_combo_count,worst_sum_count
4,combo_000_s2,canonical,mix_b128_ld7_pstr_p524288_np1_sp17_r100+mix_b64_ld14_pstr_p128_np1_sp17_r100,18,3,3,l2i_cache_refill:u,94.71,0.159131,5008,2572
5,combo_000_s2,shuffle_mixslot5_mix_s4096_l14_pstr17_p128_np1_sp17_r100_mixslot4_mix_s8192_l7_pstr17_p524288_np1_sp17_r100,mix_b64_ld14_pstr_p128_np1_sp17_r100+mix_b128_ld7_pstr_p524288_np1_sp17_r100,18,4,3,l2i_cache_refill:u,92.65,0.157447,4955,2572
10,combo_001_s2,canonical,mix_b128_ld7_rand_p524288_np1_r100+mix_b64_ld4_lin_p128_np1_r100,18,3,3,l2i_cache_refill:u,85.86,0.158749,4996,2688
11,combo_001_s2,shuffle_mixslot6_mix_s4096_l4_lin_p128_np1_r100_mixslot5_mix_s8192_l7_rand_p524288_np1_r100,mix_b64_ld4_lin_p128_np1_r100+mix_b128_ld7_rand_p524288_np1_r100,18,3,3,l2i_cache_refill:u,82.63,0.155985,4909,2688
16,combo_002_s2,canonical,mix_b128_ld4_rand_p128_np1_r100+mix_b128_ld14_pstr_p524288_np1_sp17_r100,18,3,3,l2i_cache_refill:u,306.96,0.418858,17471,4293
17,combo_002_s2,shuffle_mixslot2_mix_s8192_l14_pstr17_p524288_np1_sp17_r100_mixslot1_mix_s8192_l4_rand_p128_np1_r100,mix_b128_ld14_pstr_p524288_np1_sp17_r100+mix_b128_ld4_rand_p128_np1_r100,18,3,3,l2i_cache_refill:u,304.96,0.416797,17385,4293
22,combo_003_s2,canonical,mix_b64_ld14_rand_p128_np4_r100+mix_b128_ld7_pstr_p128_np4_sp17_r100,14,4,4,ll_cache_miss:u,64.41,0.107304,3377,2054
23,combo_003_s2,shuffle_mixslot1_mix_s8192_l7_pstr17_p128_np4_sp17_r100_mixslot0_mix_s4096_l14_rand_p128_np4_r100,mix_b128_ld7_pstr_p128_np4_sp17_r100+mix_b64_ld14_rand_p128_np4_r100,14,4,3,ll_cache_miss:u,104.48,0.133455,4200,2054
28,combo_004_s2,canonical,itlb_f64_l1_r100+mix_b128_ld1_lin_p512_np4_r100,19,4,4,l2i_cache_refill:u,465.74,0.461868,14845,2624
29,combo_004_s2,shuffle_mixslot1_mix_s8192_l1_lin_p512_np4_r100_itlb_f64_lin_p128_np4_l1_r100,mix_b128_ld1_lin_p512_np4_r100+itlb_f64_l1_r100,19,3,3,l2i_cache_refill:u,654.04,0.615595,19786,2624
34,combo_005_s2,canonical,mix_b64_ld1_rand_p128_np4_r100+mix_b128_ld2_lin_p512_np4_r100,14,1,1,ll_cache_miss:u,845.77,0.983596,30955,3273
35,combo_005_s2,shuffle_mixslot6_mix_s8192_l2_lin_p512_np4_r100_mixslot2_mix_s4096_l1_rand_p128_np4_r100,mix_b128_ld2_lin_p512_np4_r100+mix_b64_ld1_rand_p128_np4_r100,14,1,1,ll_cache_miss:u,1730.92,1.904150,59926,3273
40,combo_006_s2,canonical,mix_b64_ld14_rand_p524288_np1_r100+mix_b64_ld14_rand_p524288_np1_r100,18,3,0,l2i_cache:u,15.90,0.178842,3797,3276
41,combo_006_s2,shuffle_mixslot6_mix_s4096_l14_rand_p524288_np1_r100_mixslot1_mix_s4096_l14_rand_p524288_np1_r100,mix_b64_ld14_rand_p524288_np1_r100+mix_b64_ld14_rand_p524288_np1_r100,18,3,0,l2i_cache:u,16.64,0.179973,3821,3276
