suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity_safe,combo_000_s2,single,hot_b128_bp3_r100_pstr_p128_np1_l4_sp3,219283571,26000998,3941405,482,3340509,1276,3340509,50,1276,727,90,17,5257314,5020259,10459169,5140068,14550746,4306029,5140492,95,4305262,60,0.1186,,0.0004,0.0000,0.5697,0.1889,0.9549,0.4914,0.2959,0.0000,0.0000,,151.5867,0.0185,128.4762,0.0491,128.4762,0.0019,0.0491,0.0280,0.0035,0.0007,202.1966,193.0795,402.2603,197.6873,559.6226,165.6101,197.7036,0.0037,165.5806,0.0023
combo_linearity_safe,combo_000_s2,single,itlb_f64_l1_r100_lshuf_p512_np4_l2,70171077,11930988,731403,471,1594406,1182245,1594406,660046,1182245,42641,660082,41,1415516,767956,1923630,340056,6674594,2408716,340228,748,2375306,1739,0.1700,,0.7415,0.4140,0.0361,0.0001,0.5425,0.1768,0.3609,0.0022,0.0007,,61.3028,0.0395,133.6357,99.0903,133.6357,55.3220,99.0903,3.5740,55.3250,0.0034,118.6420,64.3665,161.2297,28.5019,559.4335,201.8874,28.5163,0.0627,199.0871,0.1458
combo_linearity_safe,combo_000_s2,canonical,hot_b128_bp3_r100_pstr_p128_np1_l4_sp3+itlb_f64_l1_r100_lshuf_p512_np4_l2,247947348,37921313,4671604,617,4939492,975033,4939492,660369,975031,116371,660435,133,6668788,5782913,12370039,5484465,22183026,7690365,5485096,1719,7571303,14149,0.1529,,0.1974,0.1337,0.1194,0.0002,0.8672,0.4434,0.3467,0.0003,0.0019,,123.1920,0.0163,130.2564,25.7120,130.2564,17.4142,25.7120,3.0687,17.4159,0.0035,175.8586,152.4977,326.2028,144.6275,584.9752,202.7980,144.6441,0.0453,199.6583,0.3731
combo_linearity_safe,combo_000_s2,shuffle_itlb_f64_lshuf_p512_np4_l2_r100_hot_s8192_pstrd_p128_np1_l4_r100_sp3,itlb_f64_l1_r100_lshuf_p512_np4_l2+hot_b128_bp3_r100_pstr_p128_np1_l4_sp3,319556002,37921398,4671613,577,4956885,950671,4956885,660357,950670,207958,660435,642,6668820,5720156,12336103,5480095,21984779,7770887,5480879,1661,7544413,7436,0.1187,,0.1918,0.1332,0.2187,0.0010,0.8577,0.4442,0.3535,0.0003,0.0010,,123.1920,0.0152,130.7147,25.0695,130.7147,17.4138,25.0695,5.4839,17.4159,0.0169,175.8590,150.8424,325.3072,144.5119,579.7460,204.9209,144.5326,0.0438,198.9487,0.1961
combo_linearity_safe,combo_000_s2,sum,hot_b128_bp3_r100_pstr_p128_np1_l4_sp3+itlb_f64_l1_r100_lshuf_p512_np4_l2,289454648,37931986,4672808,953,4934915,1183521,4934915,660096,1183521,43368,660172,58,6672830,5788215,12382799,5480124,21225340,6714745,5480720,843,6680568,1799,0.1310,,0.2398,0.1338,0.0366,0.0001,0.8674,0.4426,0.3164,0.0002,0.0003,,123.1891,0.0251,130.0990,31.2011,130.0990,17.4021,31.2011,1.1433,17.4041,0.0015,175.9157,152.5946,326.4474,144.4724,559.5631,177.0207,144.4881,0.0222,176.1196,0.0474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity_safe,combo_001_s2,single,hot_b128_bp3_r100_lin_p128_np4_l1,30210190,22160988,3941403,432,2848454,736,2848454,43,736,603,82,18,1415496,533460,1973389,340070,2854745,474279,341221,14,473585,2791,0.7336,,0.0003,0.0000,0.8193,0.2195,0.3769,0.1723,0.1661,0.0000,0.0059,,177.8532,0.0195,128.5346,0.0332,128.5346,0.0019,0.0332,0.0272,0.0037,0.0008,63.8733,24.0720,89.0479,15.3454,128.8185,21.4015,15.3974,0.0006,21.3702,0.1259
combo_linearity_safe,combo_001_s2,single,itlb_f64_l1_r100_lin_p128_np4_l2,51345437,11930988,731403,504,1589625,1795432,1589625,660076,1795426,133817,660157,109,1415459,374966,2043788,340063,4268683,889396,341344,150,731758,218,0.2324,,1.1295,0.4152,0.0745,0.0002,0.2649,0.1664,0.2084,0.0004,0.0003,,61.3028,0.0422,133.2350,150.4848,133.2350,55.3245,150.4843,11.2159,55.3313,0.0091,118.6372,31.4279,171.3008,28.5025,357.7812,74.5450,28.6099,0.0126,61.3326,0.0183
combo_linearity_safe,combo_001_s2,canonical,hot_b128_bp3_r100_lin_p128_np4_l1+itlb_f64_l1_r100_lin_p128_np4_l2,80600882,34081297,4671604,636,4440871,1493816,4440871,670280,1493816,72762,670421,36,2826877,878921,4037577,680070,7881710,1823426,680784,43,1737581,444,0.4228,,0.3364,0.1509,0.0487,0.0001,0.3109,0.1684,0.2313,0.0001,0.0003,,137.0724,0.0187,130.3023,43.8310,130.3023,19.6671,43.8310,2.1350,19.6712,0.0011,82.9451,25.7890,118.4690,19.9543,231.2620,53.5022,19.9753,0.0013,50.9834,0.0130
combo_linearity_safe,combo_001_s2,shuffle_itlb_f64_lin_p128_np4_l2_r100_hot_s8192_lin_p128_np4_l1_r100,itlb_f64_l1_r100_lin_p128_np4_l2+hot_b128_bp3_r100_lin_p128_np4_l1,75655476,34081297,4671604,576,4442513,968508,4442513,670284,968508,30341,670457,46,2826574,862330,4072606,700062,7460885,1610213,700539,25,1578243,660,0.4505,,0.2180,0.1509,0.0313,0.0001,0.3051,0.1719,0.2158,0.0000,0.0004,,137.0724,0.0169,130.3505,28.4176,130.3505,19.6672,28.4176,0.8903,19.6723,0.0013,82.9362,25.3021,119.4968,20.5409,218.9144,47.2462,20.5549,0.0007,46.3082,0.0194
combo_linearity_safe,combo_001_s2,sum,hot_b128_bp3_r100_lin_p128_np4_l1+itlb_f64_l1_r100_lin_p128_np4_l2,81555627,34091976,4672806,936,4438079,1796168,4438079,660119,1796162,134420,660239,127,2830955,908426,4017177,680133,7123428,1363675,682565,164,1205343,3009,0.4180,,0.4047,0.1487,0.0748,0.0002,0.3209,0.1693,0.1914,0.0002,0.0025,,137.0647,0.0275,130.1796,52.6859,130.1796,19.3629,52.6858,3.9429,19.3664,0.0037,83.0387,26.6463,117.8335,19.9499,208.9473,39.9999,20.0213,0.0048,35.3556,0.0883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
