module,case,blocks,block_align,direct_run_len,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
cold_block_sequence,cold_b1000_d1_linear,1000,64,1,1,linear,1,30362333,28170342,3049385,967200,21474922,7553,14705513,390,7551,4967,568,350,0.9278,0.0004,0.0000,0.6578,0.6162,108.2481,34.3340,762.3238,0.2681,522.0211,0.0138,0.2680,0.1763,0.0202,0.0124
cold_block_sequence,cold_b1000_d1_bitrev,1000,64,1,1,in_page_shuffle,1,29485223,28170340,3049385,929213,18892524,10873,13215739,430,10872,5941,949,345,0.9554,0.0006,0.0000,0.5464,0.3635,108.2481,32.9855,670.6530,0.3860,469.1367,0.0153,0.3859,0.2109,0.0337,0.0122
cold_block_sequence,cold_b1000_d2_linear,1000,64,2,1,linear,1,16617053,22170342,2049385,480120,11206860,5709,8790033,211,5707,4842,303,141,1.3342,0.0005,0.0000,0.8484,0.4653,92.4381,21.6560,505.4888,0.2575,396.4771,0.0095,0.2574,0.2184,0.0137,0.0064
cold_block_sequence,cold_b1000_d2_bitrev,1000,64,2,1,in_page_shuffle,1,16315866,22170342,2049385,461156,10769652,6286,8421261,212,6284,4939,289,142,1.3588,0.0006,0.0000,0.7860,0.4913,92.4381,20.8006,485.7684,0.2835,379.8435,0.0096,0.2834,0.2228,0.0130,0.0064
cold_block_sequence,cold_b1000_d4_linear,1000,64,4,1,linear,1,9850703,19170382,1549393,241102,5447671,8604,4702998,233,8602,5222,376,198,1.9461,0.0016,0.0000,0.6071,0.5266,80.8222,12.5768,284.1712,0.4488,245.3263,0.0122,0.4487,0.2724,0.0196,0.0103
cold_block_sequence,cold_b1000_d4_bitrev,1000,64,4,1,in_page_shuffle,1,9736590,19170328,1549383,233109,5183684,6450,4444142,262,6448,4856,368,216,1.9689,0.0012,0.0001,0.7531,0.5870,80.8219,12.1599,270.4014,0.3365,231.8240,0.0137,0.3364,0.2533,0.0192,0.0113
cold_block_sequence,cold_b1000_d8_linear,1000,64,8,1,linear,1,6499598,17671726,1299790,123112,3077464,5267,2799088,207,5264,4516,307,133,2.7189,0.0017,0.0001,0.8579,0.4332,73.5520,6.9666,174.1462,0.2980,158.3936,0.0117,0.2979,0.2555,0.0174,0.0075
cold_block_sequence,cold_b1000_d8_bitrev,1000,64,8,1,in_page_shuffle,1,6477284,17670384,1299393,119110,2923834,5763,2650715,286,5609,4819,421,203,2.7281,0.0020,0.0001,0.8592,0.4822,73.5351,6.7407,165.4652,0.3261,150.0089,0.0162,0.3174,0.2727,0.0238,0.0115
cold_block_sequence,cold_b1000_d16_linear,1000,64,16,1,linear,1,4825946,16926391,1175394,66066,2089487,5772,1985106,254,5768,4678,389,225,3.5074,0.0028,0.0001,0.8110,0.5784,69.4415,3.9031,123.4455,0.3410,117.2788,0.0150,0.3408,0.2764,0.0230,0.0133
cold_block_sequence,cold_b1000_d16_bitrev,1000,64,16,1,in_page_shuffle,1,4887007,16926404,1175392,64089,2011328,5694,1910866,275,5440,4288,393,232,3.4636,0.0028,0.0001,0.7882,0.5903,69.4413,3.7863,118.8278,0.3364,112.8926,0.0162,0.3214,0.2533,0.0232,0.0137
