suite,case,order_tag,modules,cold_block_sequence_blocks,cold_block_sequence_block_align,cold_block_sequence_direct_run_len,cold_block_sequence_region_reps,cold_block_sequence_layout,cold_block_sequence_pos,fetch_amplifier_blocks,fetch_amplifier_block_align,fetch_amplifier_direct_run_len,fetch_amplifier_branch_pairs_per_block,fetch_amplifier_block_slots,fetch_amplifier_region_reps,fetch_amplifier_layout,fetch_amplifier_pos,hot_region_loop_size,hot_region_loop_branch_pairs_per_unit,hot_region_loop_region_reps,hot_region_loop_pos,data_stream_size,data_stream_stride,data_stream_region_reps,data_stream_pos,data_pointer_chase_pages,data_pointer_chase_lines_per_page,data_pointer_chase_region_reps,data_pointer_chase_pos,data_page_stride_pages,data_page_stride_page_stride,data_page_stride_line_index,data_page_stride_region_reps,data_page_stride_pos,data_indirect_gather_pages,data_indirect_gather_lines_per_page,data_indirect_gather_index_stride,data_indirect_gather_region_reps,data_indirect_gather_pos,itlb_funcs,itlb_lines_per_page,itlb_region_reps,itlb_mode,itlb_direct_run_len,itlb_pos,seed,opt_level,iters,rounds,cpu_core,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
dcache_library,dstream_s8192_st64_r16,single,dstream_s8192_st64_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,8192,64,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,18455859,31324747,2181101,24945,7064062,566,7064062,48,566,492,99,22,14700773,210,19387825,109,1877,935,700,10,417,46,1.6973,0.0001,0.0000,0.8693,0.2222,0.0000,0.0000,0.4981,0.0143,0.1103,69.6287,0.7963,225.5106,0.0181,225.5106,0.0015,0.0181,0.0157,0.0032,0.0007,469.3022,0.0067,618.9300,0.0035,0.0599,0.0298,0.0223,0.0003,0.0133,0.0015
dcache_library,dstream_s8192_st256_r16,single,dstream_s8192_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,8192,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,4040522,8284873,645120,1357,1715020,563,1715020,40,563,496,103,19,3799808,187,4930066,123,1417,870,165,9,373,50,2.0504,0.0003,0.0000,0.8810,0.1845,0.0000,0.0000,0.6140,0.0545,0.1340,77.8672,0.1638,207.0062,0.0680,207.0062,0.0048,0.0680,0.0599,0.0124,0.0023,458.6441,0.0226,595.0684,0.0148,0.1710,0.1050,0.0199,0.0011,0.0450,0.0060
dcache_library,dstream_s8192_st4096_r16,single,dstream_s8192_st4096_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,8192,4096,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,475562,1084582,165083,1334,275453,524,275453,42,527,496,100,23,439021,158,523882,106,1255,812,154,12,283,35,2.2806,0.0019,0.0002,0.9412,0.2300,0.0004,0.0002,0.6470,0.0779,0.1237,152.2089,1.2300,253.9716,0.4831,253.9716,0.0387,0.4859,0.4573,0.0922,0.0212,404.7836,0.1457,483.0266,0.0977,1.1571,0.7487,0.1420,0.0111,0.2609,0.0323
dcache_library,dstream_s65536_st64_r16,single,dstream_s65536_st64_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,65536,64,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,139756659,246364674,16517094,17707,49855506,576,49855506,40,577,492,180,19,114944894,236347,146277798,458,4419424,2368,530,12,1855,75,1.7628,0.0000,0.0000,0.8527,0.1056,0.0021,0.0000,0.0005,0.0226,0.0404,67.0433,0.0719,202.3647,0.0023,202.3647,0.0002,0.0023,0.0020,0.0007,0.0001,466.5640,0.9593,593.7450,0.0019,17.9385,0.0096,0.0022,0.0000,0.0075,0.0003
dcache_library,dstream_s65536_st256_r16,single,dstream_s65536_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,65536,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,37670442,62044674,4229094,18033,12961347,564,12961347,41,565,502,814,19,28920317,128852,37231125,197,242861,1353,234,11,836,40,1.6470,0.0000,0.0000,0.8885,0.0233,0.0045,0.0000,0.0056,0.0470,0.0478,68.1621,0.2906,208.9035,0.0091,208.9035,0.0007,0.0091,0.0081,0.0131,0.0003,466.1209,2.0768,600.0696,0.0032,3.9143,0.0218,0.0038,0.0002,0.0135,0.0006
dcache_library,dstream_s65536_st4096_r16,single,dstream_s65536_st4096_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,65536,4096,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,2149137,4444592,389085,1300,946582,549,946582,37,553,490,101,18,2007806,60199,2532901,161,122962,814,192,12,332,29,2.0681,0.0006,0.0000,0.8861,0.1782,0.0300,0.0001,0.0066,0.0625,0.0873,87.5412,0.2925,212.9739,0.1235,212.9739,0.0083,0.1244,0.1102,0.0227,0.0040,451.7414,13.5443,569.8838,0.0362,27.6655,0.1831,0.0432,0.0027,0.0747,0.0065
dcache_library,dstream_s524288_st64_r16,single,dstream_s524288_st64_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,524288,64,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,1269326230,1966684630,131205084,18385,394016460,742,394016460,45,743,599,261,23,917893482,10076052,1268992158,2162272,470430787,30911297,2166252,27,30907713,2703,1.5494,0.0000,0.0000,0.8062,0.0881,0.0110,0.0017,0.0657,0.0000,0.0001,66.7138,0.0093,200.3455,0.0004,200.3455,0.0000,0.0004,0.0003,0.0001,0.0000,466.7212,5.1234,645.2444,1.0995,239.1999,15.7175,1.1015,0.0000,15.7156,0.0014
dcache_library,dstream_s524288_st256_r16,single,dstream_s524288_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,524288,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,370392474,492124630,32901084,18427,98880544,645,98880544,43,646,559,765,20,229650549,6519833,327746409,2145239,89869637,13237136,2149291,20,13235597,8086,1.3287,0.0000,0.0000,0.8653,0.0261,0.0284,0.0065,0.1473,0.0000,0.0006,66.8552,0.0374,200.9258,0.0013,200.9258,0.0001,0.0013,0.0011,0.0016,0.0000,466.6512,13.2483,665.9825,4.3591,182.6156,26.8979,4.3674,0.0000,26.8948,0.0164
dcache_library,dstream_s524288_st4096_r16,single,dstream_s524288_st4096_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,524288,4096,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,25617380,31324726,2181100,18382,6695219,566,6695219,36,567,464,566,20,14587029,2032033,24208138,2145067,5096911,931693,2228960,26,931021,113,1.2228,0.0001,0.0000,0.8183,0.0353,0.1393,0.0886,0.1828,0.0000,0.0001,69.6287,0.5868,213.7359,0.0181,213.7359,0.0011,0.0181,0.0148,0.0181,0.0006,465.6714,64.8699,772.8124,68.4784,162.7121,29.7431,71.1566,0.0008,29.7216,0.0036
dcache_library,dstream_s4194304_st64_r16,single,dstream_s4194304_st64_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,4194304,64,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,11102927006,15729244408,1048709021,24058,3147747227,1674,3147747227,48,1677,1631,373,42,7341058131,100370837,10418900130,8498573,3268006100,1046623846,8503416,1232,1046493631,93591,1.4167,0.0000,0.0000,0.9726,0.1126,0.0137,0.0008,0.3203,0.0001,0.0001,66.6726,0.0015,200.1207,0.0001,200.1207,0.0000,0.0001,0.0001,0.0000,0.0000,466.7140,6.3812,662.3904,0.5403,207.7662,66.5400,0.5406,0.0001,66.5317,0.0060
