suite,case,order_tag,modules,cold_block_sequence_blocks,cold_block_sequence_block_align,cold_block_sequence_direct_run_len,cold_block_sequence_region_reps,cold_block_sequence_layout,cold_block_sequence_pos,fetch_amplifier_blocks,fetch_amplifier_block_align,fetch_amplifier_direct_run_len,fetch_amplifier_branch_pairs_per_block,fetch_amplifier_block_slots,fetch_amplifier_region_reps,fetch_amplifier_layout,fetch_amplifier_pos,hot_region_loop_size,hot_region_loop_branch_pairs_per_unit,hot_region_loop_region_reps,hot_region_loop_pos,data_stream_size,data_stream_stride,data_stream_region_reps,data_stream_pos,data_pointer_chase_pages,data_pointer_chase_lines_per_page,data_pointer_chase_region_reps,data_pointer_chase_pos,data_page_stride_pages,data_page_stride_page_stride,data_page_stride_line_index,data_page_stride_region_reps,data_page_stride_pos,data_indirect_gather_pages,data_indirect_gather_lines_per_page,data_indirect_gather_index_stride,data_indirect_gather_region_reps,data_indirect_gather_pos,itlb_funcs,itlb_lines_per_page,itlb_region_reps,itlb_mode,itlb_direct_run_len,itlb_pos,seed,opt_level,iters,rounds,cpu_core,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
dcache_linearity,combo_2_00,single,dptr_p128_l1_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,128,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,80247651,43724665,2181093,17513,8713280,579,8713280,49,580,524,106,24,20773896,2033432,40168873,2145965,5590749,1430921,2147842,38,1430316,78,0.5449,0.0001,0.0000,0.9034,0.2264,0.0979,0.0534,0.2559,0.0000,0.0001,49.8824,0.4005,199.2761,0.0132,199.2761,0.0011,0.0133,0.0120,0.0024,0.0005,475.1070,46.5054,918.6777,49.0790,127.8626,32.7257,49.1220,0.0009,32.7119,0.0018
dcache_linearity,combo_2_00,single,dstream_s65536_st4096_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,65536,4096,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,2107476,4444592,389085,1313,945410,542,945410,41,541,495,95,19,2007592,58278,2536466,139,122333,814,174,13,309,33,2.1090,0.0006,0.0000,0.9150,0.2000,0.0290,0.0001,0.0067,0.0747,0.1068,87.5412,0.2954,212.7102,0.1219,212.7102,0.0092,0.1217,0.1114,0.0214,0.0043,451.6932,13.1121,570.6859,0.0313,27.5240,0.1831,0.0391,0.0029,0.0695,0.0074
dcache_linearity,combo_2_00,canonical,dptr_p128_l1_r16+dstream_s65536_st4096_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,65536,4096,16,2,128,1,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,88717945,48127674,2567094,19000,7549970,596,7549970,40,599,497,80,22,22768260,2088128,42786288,2163106,5602924,1302428,2165693,28,1301839,45,0.5425,0.0001,0.0000,0.8297,0.2750,0.0917,0.0506,0.2325,0.0000,0.0000,53.3392,0.3948,156.8738,0.0124,156.8738,0.0008,0.0124,0.0103,0.0017,0.0005,473.0804,43.3873,889.0163,44.9452,116.4179,27.0619,44.9989,0.0006,27.0497,0.0009
dcache_linearity,combo_2_00,shuffle_dstream_s65536_st4096_r16_dptr_p128_l1_r16,dstream_s65536_st4096_r16+dptr_p128_l1_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,65536,4096,16,1,128,1,16,2,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,78931871,48127674,2567094,19702,7566549,565,7566549,40,567,477,95,20,22775559,2087485,42689212,2162630,5853484,1554795,2164888,16,1554255,154,0.6097,0.0001,0.0000,0.8413,0.2105,0.0917,0.0507,0.2656,0.0000,0.0001,53.3392,0.4094,157.2183,0.0117,157.2183,0.0008,0.0118,0.0099,0.0020,0.0004,473.2321,43.3739,886.9993,44.9353,121.6241,32.3056,44.9822,0.0003,32.2944,0.0032
dcache_linearity,combo_2_00,sum,dptr_p128_l1_r16+dstream_s65536_st4096_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,1,65536,4096,16,5,128,1,16,6,0,1,0,0,7,0,1,1,0,8,0,1,0,chain,0,2,1337,0,1000,1,0,82355127,48169257,2570178,18826,9658690,1121,9658690,90,1121,1019,201,43,22781488,2091710,42705339,2146104,5713082,1431735,2148016,51,1430625,111,0.5849,0.0001,0.0000,0.9090,0.2139,0.0918,0.0503,0.2506,0.0000,0.0001,53.3572,0.3908,200.5157,0.0233,200.5157,0.0019,0.0233,0.0212,0.0042,0.0009,472.9466,43.4242,886.5684,44.5534,118.6043,29.7230,44.5931,0.0011,29.7000,0.0023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcache_linearity,combo_2_01,single,dptr_p512_l4_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,0,64,0,5,512,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,1192779492,688844621,32901083,18283,131813947,853,131813947,41,853,500,208,21,328056325,10736138,552764637,8481208,138506308,56436985,8481898,138,56430402,124158,0.5775,0.0000,0.0000,0.5862,0.1010,0.0327,0.0153,0.4075,0.0000,0.0022,47.7627,0.0265,191.3551,0.0012,191.3551,0.0001,0.0012,0.0007,0.0003,0.0000,476.2414,15.5857,802.4518,12.3122,201.0705,81.9299,12.3132,0.0002,81.9204,0.1802
dcache_linearity,combo_2_01,single,dstream_s65536_st256_r16,0,64,4,0,in_page_shuffle,2,0,64,1,0,16,0,linear,3,0,3,0,4,65536,256,16,1,0,1,0,5,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,37633170,62044674,4229094,18036,12963703,552,12963703,38,552,491,821,19,28924921,98186,37320253,217,778925,1366,254,11,828,170,1.6487,0.0000,0.0000,0.8895,0.0231,0.0034,0.0000,0.0018,0.0433,0.2053,68.1621,0.2907,208.9414,0.0089,208.9414,0.0006,0.0089,0.0079,0.0132,0.0003,466.1951,1.5825,601.5062,0.0035,12.5543,0.0220,0.0041,0.0002,0.0133,0.0027
dcache_linearity,combo_2_01,canonical,dptr_p512_l4_r16+dstream_s65536_st256_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,65536,256,16,2,512,4,16,1,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,1255571821,750847636,37127082,35819,111895356,1121,111895356,39,1123,496,134,25,356979393,10893359,590013606,8499704,139438069,55817455,8501588,153,55811249,52994,0.5980,0.0000,0.0000,0.4417,0.1866,0.0305,0.0144,0.4003,0.0000,0.0009,49.4469,0.0477,149.0254,0.0015,149.0254,0.0001,0.0015,0.0007,0.0002,0.0000,475.4352,14.5081,785.7967,11.3201,185.7075,74.3393,11.3227,0.0002,74.3310,0.0706
dcache_linearity,combo_2_01,shuffle_dstream_s65536_st256_r16_dptr_p512_l4_r16,dstream_s65536_st256_r16+dptr_p512_l4_r16,0,64,4,0,in_page_shuffle,3,0,64,1,0,16,0,linear,4,0,3,0,5,65536,256,16,1,512,4,16,2,0,1,0,0,6,0,1,1,0,7,0,1,0,chain,0,8,1337,0,1000,1,0,1256835307,750847630,37127084,36866,111916397,1169,111916397,41,1172,507,108,23,356975559,10849658,590548797,8499584,139699099,55302698,8501723,119,55296715,21842,0.5974,0.0000,0.0000,0.4326,0.2130,0.0304,0.0144,0.3959,0.0000,0.0004,49.4469,0.0491,149.0534,0.0016,149.0534,0.0001,0.0016,0.0007,0.0001,0.0000,475.4301,14.4499,786.5095,11.3200,186.0552,73.6537,11.3228,0.0002,73.6457,0.0291
