module,case,blocks,block_align,direct_run_len,branch_pairs_per_block,block_slots,region_reps,layout,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
fetch_amplifier,fetch_b32_d1_bp0_s4_r1000,32,64,1,0,4,1000,linear,1,223678674,529155610,104041789,3528119,200939018,4477,145797773,277,4473,3669,498,242,2.3657,0.0000,0.0000,0.8203,0.4859,196.6185,6.6675,379.7352,0.0085,275.5291,0.0005,0.0085,0.0069,0.0009,0.0005
fetch_amplifier,fetch_b32_d1_bp1_s4_r1000,32,64,1,1,4,1000,linear,1,225774883,529157826,136042186,3669280,200678039,5359,148387218,298,5350,3718,604,255,2.3437,0.0000,0.0000,0.6950,0.4222,257.0919,6.9342,379.2404,0.0101,280.4215,0.0006,0.0101,0.0070,0.0011,0.0005
fetch_amplifier,fetch_b32_d1_bp2_s4_r1000,32,64,1,2,4,1000,linear,1,225040432,529153334,136041380,3627046,201373101,3973,149638687,296,3972,3528,695,260,2.3514,0.0000,0.0000,0.8882,0.3741,257.0926,6.8544,380.5572,0.0075,282.7889,0.0006,0.0075,0.0067,0.0013,0.0005
fetch_amplifier,fetch_b32_d1_bp0_s8_r1000,32,64,1,0,8,1000,linear,1,223019402,657153588,104041423,3503013,205577773,3941,147689600,263,3939,3543,457,188,2.9466,0.0000,0.0000,0.8995,0.4114,158.3213,5.3306,312.8306,0.0060,224.7414,0.0004,0.0060,0.0054,0.0007,0.0003
fetch_amplifier,fetch_b32_d1_bp1_s8_r1000,32,64,1,1,8,1000,linear,1,224673340,657155740,136041808,3503889,207501333,5073,145136509,380,5071,3657,700,342,2.9249,0.0000,0.0000,0.7212,0.4886,207.0161,5.3319,315.7567,0.0077,220.8556,0.0006,0.0077,0.0056,0.0011,0.0005
fetch_amplifier,fetch_b32_d1_bp2_s8_r1000,32,64,1,2,8,1000,linear,1,223093785,657153336,168041380,3503484,210158307,4666,147690992,314,4665,3617,623,277,2.9456,0.0000,0.0000,0.7753,0.4446,255.7111,5.3313,319.8010,0.0071,224.7436,0.0005,0.0071,0.0055,0.0009,0.0004
fetch_amplifier,fetch_b32_d1_bp3_s8_r1000,32,64,1,3,8,1000,linear,1,222817119,657153460,200041404,3503344,205069367,4330,145246424,340,4328,3453,590,295,2.9493,0.0000,0.0000,0.7978,0.5000,304.4059,5.3311,312.0570,0.0066,221.0236,0.0005,0.0066,0.0053,0.0009,0.0004
fetch_amplifier,fetch_b32_d1_bp0_s16_r1000,32,64,1,0,16,1000,linear,1,223621635,913155547,104041777,3503741,189412533,5309,147466757,407,5307,3682,844,362,4.0835,0.0000,0.0000,0.6938,0.4289,113.9365,3.8370,207.4264,0.0058,161.4914,0.0004,0.0058,0.0040,0.0009,0.0004
fetch_amplifier,fetch_b32_d1_bp1_s16_r1000,32,64,1,1,16,1000,linear,1,223228420,913153334,136041380,3503285,189438158,3907,145595669,245,3905,3515,562,208,4.0907,0.0000,0.0000,0.9001,0.3701,148.9798,3.8365,207.4549,0.0043,159.4427,0.0003,0.0043,0.0038,0.0006,0.0002
fetch_amplifier,fetch_b32_d1_bp2_s16_r1000,32,64,1,2,16,1000,linear,1,223509098,913153395,168041391,3503401,191498698,4035,147111662,320,4032,3532,613,277,4.0855,0.0000,0.0000,0.8760,0.4519,184.0232,3.8366,209.7114,0.0044,161.1029,0.0004,0.0044,0.0039,0.0007,0.0003
fetch_amplifier,fetch_b32_d1_bp4_s16_r1000,32,64,1,4,16,1000,linear,1,224910760,913157761,232042174,3503652,190558637,5032,148619550,362,5030,3623,730,319,4.0601,0.0000,0.0000,0.7203,0.4370,254.1096,3.8369,208.6810,0.0055,162.7534,0.0004,0.0055,0.0040,0.0008,0.0003
fetch_amplifier,fetch_b32_d1_bp6_s16_r1000,32,64,1,6,16,1000,linear,1,226147424,913155669,296041800,3495572,189671854,5009,147237087,316,4982,3726,14198,277,4.0379,0.0000,0.0000,0.7479,0.0195,324.1964,3.8280,207.7103,0.0055,161.2399,0.0003,0.0055,0.0041,0.0155,0.0003
fetch_amplifier,fetch_b32_d2_bp0_s4_r1000,32,64,2,0,4,1000,linear,1,84799992,337153030,72041345,148649,88061538,4314,70090420,252,4311,3456,392,210,3.9759,0.0000,0.0000,0.8017,0.5357,213.6755,0.4409,261.1916,0.0128,207.8890,0.0007,0.0128,0.0103,0.0012,0.0006
fetch_amplifier,fetch_b32_d2_bp1_s4_r1000,32,64,2,1,4,1000,linear,1,83063130,337155609,104041793,48061,88076242,3949,70160981,251,3915,3499,12962,211,4.0590,0.0000,0.0000,0.8937,0.0163,308.5869,0.1425,261.2332,0.0117,208.0967,0.0007,0.0116,0.0104,0.0384,0.0006
fetch_amplifier,fetch_b32_d2_bp2_s4_r1000,32,64,2,2,4,1000,linear,1,82313863,337153343,104041385,3472,88112312,4020,70140904,245,4017,3535,25922,201,4.0959,0.0000,0.0000,0.8800,0.0078,308.5877,0.0103,261.3419,0.0119,208.0386,0.0007,0.0119,0.0105,0.0769,0.0006
fetch_amplifier,fetch_b32_d2_bp0_s8_r1000,32,64,2,0,8,1000,linear,1,83500729,465157752,72042175,69590,89090076,3557,70091020,260,3553,3162,367,220,5.5707,0.0000,0.0000,0.8900,0.5995,154.8769,0.1496,191.5266,0.0076,150.6823,0.0006,0.0076,0.0068,0.0008,0.0005
fetch_amplifier,fetch_b32_d2_bp1_s8_r1000,32,64,2,1,8,1000,linear,1,82450479,465153461,104041408,3253,89072767,3902,70091727,211,3864,3499,325,168,5.6416,0.0000,0.0000,0.9055,0.5169,223.6711,0.0070,191.4911,0.0084,150.6852,0.0005,0.0083,0.0075,0.0007,0.0004
fetch_amplifier,fetch_b32_d2_bp2_s8_r1000,32,64,2,2,8,1000,linear,1,82491032,465153340,136041384,3321,89080762,3873,70248175,242,3871,3440,79814,209,5.6388,0.0000,0.0000,0.8887,0.0026,292.4657,0.0071,191.5084,0.0083,151.0215,0.0005,0.0083,0.0074,0.1716,0.0004
fetch_amplifier,fetch_b32_d2_bp3_s8_r1000,32,64,2,3,8,1000,linear,1,84373265,465153396,168041396,107771,89073513,3851,70114878,247,3847,3428,11895,212,5.5130,0.0000,0.0000,0.8911,0.0178,361.2602,0.2317,191.4928,0.0083,150.7350,0.0005,0.0083,0.0074,0.0256,0.0005
fetch_amplifier,fetch_b32_d2_bp0_s16_r1000,32,64,2,0,16,1000,linear,1,104475264,721153398,72041396,45838,73144533,3995,70082357,249,3993,3578,352,211,6.9026,0.0001,0.0000,0.8961,0.5994,99.8975,0.0636,101.4271,0.0055,97.1809,0.0003,0.0055,0.0050,0.0005,0.0003
fetch_amplifier,fetch_b32_d2_bp1_s16_r1000,32,64,2,1,16,1000,linear,1,103402717,721153349,104041386,3316,73165581,3888,70085377,247,3882,3510,390,210,6.9742,0.0001,0.0000,0.9042,0.5385,144.2708,0.0046,101.4563,0.0054,97.1851,0.0003,0.0054,0.0049,0.0005,0.0003
fetch_amplifier,fetch_b32_d2_bp2_s16_r1000,32,64,2,2,16,1000,linear,1,103428800,721153341,136041384,3343,73102850,4036,70084795,269,4034,3537,435,230,6.9725,0.0001,0.0000,0.8768,0.5287,188.6442,0.0046,101.3694,0.0056,97.1843,0.0004,0.0056,0.0049,0.0006,0.0003
fetch_amplifier,fetch_b32_d2_bp4_s16_r1000,32,64,2,4,16,1000,linear,1,103500871,721153340,200041385,4082,73212257,3930,70086990,257,3929,3441,360,214,6.9676,0.0001,0.0000,0.8758,0.5944,277.3909,0.0057,101.5211,0.0054,97.1874,0.0004,0.0054,0.0048,0.0005,0.0003
fetch_amplifier,fetch_b32_d2_bp6_s16_r1000,32,64,2,6,16,1000,linear,1,112649674,721155648,264041803,3430,75631150,3978,70143049,280,3975,3569,53862,246,6.4018,0.0001,0.0000,0.8979,0.0046,366.1371,0.0048,104.8749,0.0055,97.2648,0.0004,0.0055,0.0049,0.0747,0.0003
fetch_amplifier,fetch_b32_d4_bp0_s4_r1000,32,64,4,0,4,1000,linear,1,54333762,241155555,56041782,3222,54111787,3923,54092099,247,3920,3526,397,208,4.4384,0.0001,0.0000,0.8995,0.5239,232.3885,0.0134,224.3854,0.0163,224.3038,0.0010,0.0163,0.0146,0.0016,0.0009
fetch_amplifier,fetch_b32_d4_bp1_s4_r1000,32,64,4,1,4,1000,linear,1,54327349,241153461,88041408,3162,54111126,3871,54090259,198,3869,3540,289,126,4.4389,0.0001,0.0000,0.9150,0.4360,365.0846,0.0131,224.3846,0.0161,224.2981,0.0008,0.0160,0.0147,0.0012,0.0005
fetch_amplifier,fetch_b32_d4_bp2_s4_r1000,32,64,4,2,4,1000,linear,1,54446510,241153396,88041396,3205,54111278,3866,54092744,258,3864,3386,380,213,4.4292,0.0001,0.0000,0.8763,0.5605,365.0846,0.0133,224.3853,0.0160,224.3084,0.0011,0.0160,0.0140,0.0016,0.0009
fetch_amplifier,fetch_b32_d4_bp0_s8_r1000,32,64,4,0,8,1000,linear,1,55307548,369153338,56041384,3156,56116888,4028,54090670,224,4019,3617,321,183,6.6746,0.0001,0.0000,0.9000,0.5701,151.8106,0.0085,152.0151,0.0109,146.5263,0.0006,0.0109,0.0098,0.0009,0.0005
fetch_amplifier,fetch_b32_d4_bp1_s8_r1000,32,64,4,1,8,1000,linear,1,55473924,369153396,88041396,3254,56121057,3983,54091815,240,3981,3499,353,193,6.6545,0.0001,0.0000,0.8789,0.5467,238.4954,0.0088,152.0264,0.0108,146.5294,0.0007,0.0108,0.0095,0.0010,0.0005
fetch_amplifier,fetch_b32_d4_bp2_s8_r1000,32,64,4,2,8,1000,linear,1,55309167,369153340,120041385,3150,56114024,3823,54094985,247,3821,3541,363,191,6.6744,0.0001,0.0000,0.9267,0.5262,325.1803,0.0085,152.0074,0.0104,146.5380,0.0007,0.0104,0.0096,0.0010,0.0005
fetch_amplifier,fetch_b32_d4_bp3_s8_r1000,32,64,4,3,8,1000,linear,1,57049459,369153404,152041396,3162,60413582,3829,54098694,206,3827,3472,329,170,6.4708,0.0001,0.0000,0.9072,0.5167,411.8651,0.0086,163.6544,0.0104,146.5480,0.0006,0.0104,0.0094,0.0009,0.0005
fetch_amplifier,fetch_b32_d4_bp0_s16_r1000,32,64,4,0,16,1000,linear,1,85319376,625153396,56041396,3214,55100023,3960,54082934,266,3919,3519,417,205,7.3272,0.0001,0.0000,0.8979,0.4916,89.6442,0.0051,88.1384,0.0063,86.5115,0.0004,0.0063,0.0056,0.0007,0.0003
fetch_amplifier,fetch_b32_d4_bp1_s16_r1000,32,64,4,1,16,1000,linear,1,85478135,625155553,88041782,3266,55100953,4086,54081875,234,4082,3633,360,198,7.3136,0.0001,0.0000,0.8900,0.5500,140.8318,0.0052,88.1396,0.0065,86.5095,0.0004,0.0065,0.0058,0.0006,0.0003
fetch_amplifier,fetch_b32_d4_bp2_s16_r1000,32,64,4,2,16,1000,linear,1,85272958,625153340,120041385,3188,55103311,4470,54080487,216,4468,3465,321,179,7.3312,0.0001,0.0000,0.7755,0.5576,192.0191,0.0051,88.1437,0.0072,86.5076,0.0003,0.0071,0.0055,0.0005,0.0003
fetch_amplifier,fetch_b32_d4_bp4_s16_r1000,32,64,4,4,16,1000,linear,1,85334952,625155616,184041794,3231,55101227,3775,54081792,237,3772,3366,338,195,7.3259,0.0001,0.0000,0.8924,0.5769,294.3936,0.0052,88.1400,0.0060,86.5093,0.0004,0.0060,0.0054,0.0005,0.0003
fetch_amplifier,fetch_b32_d4_bp6_s16_r1000,32,64,4,6,16,1000,linear,1,95638390,625153341,248041384,3258,55107753,4276,54083700,228,4271,3663,342,185,6.5366,0.0001,0.0000,0.8576,0.5409,396.7689,0.0052,88.1508,0.0068,86.5127,0.0004,0.0068,0.0059,0.0005,0.0003
fetch_amplifier,fetch_b32_d8_bp0_s4_r1000,32,64,8,0,4,1000,linear,1,46208147,193153340,48041384,3102,46109948,3892,46090649,226,3885,3454,321,184,4.1801,0.0001,0.0000,0.8891,0.5732,248.7215,0.0161,238.7220,0.0201,238.6221,0.0012,0.0201,0.0179,0.0017,0.0010
fetch_amplifier,fetch_b32_d8_bp1_s4_r1000,32,64,8,1,4,1000,linear,1,46333446,193155556,80041782,3160,46109892,3785,46091123,224,3783,3441,328,177,4.1688,0.0001,0.0000,0.9096,0.5396,414.3903,0.0164,238.7190,0.0196,238.6218,0.0012,0.0196,0.0178,0.0017,0.0009
fetch_amplifier,fetch_b32_d8_bp2_s4_r1000,32,64,8,2,4,1000,linear,1,46323816,193153342,80041385,3111,46110705,3806,46089706,211,3804,3431,306,172,4.1696,0.0001,0.0000,0.9019,0.5621,414.3930,0.0161,238.7259,0.0197,238.6172,0.0011,0.0197,0.0178,0.0016,0.0009
fetch_amplifier,fetch_b32_d8_bp0_s8_r1000,32,64,8,0,8,1000,linear,1,46324283,321155553,48041782,3193,48110452,3921,46090165,216,3919,3488,297,170,6.9328,0.0001,0.0000,0.8900,0.5724,149.5904,0.0099,149.8042,0.0122,143.5135,0.0007,0.0122,0.0109,0.0009,0.0005
fetch_amplifier,fetch_b32_d8_bp1_s8_r1000,32,64,8,1,8,1000,linear,1,46476934,321153342,80041385,3140,48154758,4398,46092858,228,4399,3720,360,160,6.9100,0.0001,0.0000,0.8456,0.4444,249.2311,0.0098,149.9432,0.0137,143.5229,0.0007,0.0137,0.0116,0.0011,0.0005
fetch_amplifier,fetch_b32_d8_bp2_s8_r1000,32,64,8,2,8,1000,linear,1,46278023,321153342,112041385,3140,48110451,3894,46090340,228,3892,3609,320,182,6.9397,0.0001,0.0000,0.9273,0.5687,348.8719,0.0098,149.8052,0.0121,143.5151,0.0007,0.0121,0.0112,0.0010,0.0006
fetch_amplifier,fetch_b32_d8_bp3_s8_r1000,32,64,8,3,8,1000,linear,1,50370656,321153340,144041385,3154,50677837,3845,46097902,192,3842,3487,300,137,6.3758,0.0001,0.0000,0.9076,0.4567,448.5128,0.0098,157.7995,0.0120,143.5386,0.0006,0.0120,0.0109,0.0009,0.0004
fetch_amplifier,fetch_b32_d8_bp0_s16_r1000,32,64,8,0,16,1000,linear,1,76405445,577153342,48041385,3136,47100932,4395,46079735,230,4392,3697,324,190,7.5538,0.0001,0.0000,0.8418,0.5864,83.2385,0.0054,81.6090,0.0076,79.8397,0.0004,0.0076,0.0064,0.0006,0.0003
fetch_amplifier,fetch_b32_d8_bp1_s16_r1000,32,64,8,1,16,1000,linear,1,76434610,577155558,80041782,3175,47098177,4019,46079803,230,4016,3551,321,183,7.5510,0.0001,0.0000,0.8842,0.5701,138.6832,0.0055,81.6040,0.0070,79.8395,0.0004,0.0070,0.0062,0.0006,0.0003
fetch_amplifier,fetch_b32_d8_bp2_s16_r1000,32,64,8,2,16,1000,linear,1,76490279,577155555,112041782,3193,47100659,4184,46080745,272,4156,3445,379,222,7.5455,0.0001,0.0000,0.8289,0.5858,194.1275,0.0055,81.6083,0.0072,79.8411,0.0005,0.0072,0.0060,0.0007,0.0004
fetch_amplifier,fetch_b32_d8_bp4_s16_r1000,32,64,8,4,16,1000,linear,1,76452968,577153340,176041385,3187,47098521,3917,46079372,226,3915,3513,356,188,7.5491,0.0001,0.0000,0.8973,0.5281,305.0167,0.0055,81.6049,0.0068,79.8390,0.0004,0.0068,0.0061,0.0006,0.0003
fetch_amplifier,fetch_b32_d8_bp6_s16_r1000,32,64,8,6,16,1000,linear,1,88034628,577157827,240042190,3186,47100927,3905,46085060,261,3903,3561,400,233,6.5560,0.0001,0.0000,0.9124,0.5825,415.9039,0.0055,81.6084,0.0068,79.8483,0.0005,0.0068,0.0062,0.0007,0.0004
fetch_amplifier,fetch_b64_d1_bp0_s4_r1000,64,64,1,0,4,1000,linear,1,987731243,1041158014,200042216,27969890,729870105,7029,563595021,911,7026,3479,151409,871,1.0541,0.0000,0.0000,0.4952,0.0058,192.1343,26.8642,701.0176,0.0068,541.3155,0.0009,0.0067,0.0033,0.1454,0.0008
fetch_amplifier,fetch_b64_d1_bp1_s4_r1000,64,64,1,1,4,1000,linear,1,992640716,1041153334,264041379,28221104,734178669,8233,567763065,1042,8232,3820,2914,1002,1.0489,0.0000,0.0000,0.4640,0.3439,253.6047,27.1056,705.1590,0.0079,545.3213,0.0010,0.0079,0.0037,0.0028,0.0010
fetch_amplifier,fetch_b64_d1_bp2_s4_r1000,64,64,1,2,4,1000,linear,1,990598277,1041157821,264042185,28123073,732932857,5193,566525216,1015,5191,3692,3068,977,1.0510,0.0000,0.0000,0.7112,0.3184,253.6044,27.0113,703.9594,0.0050,544.1300,0.0010,0.0050,0.0035,0.0029,0.0009
fetch_amplifier,fetch_b64_d1_bp0_s8_r1000,64,64,1,0,8,1000,linear,1,981283922,1297162187,200042968,27933520,736956889,8713,559886367,1019,8707,3936,218135,984,1.3219,0.0000,0.0000,0.4521,0.0045,154.2158,21.5343,568.1301,0.0067,431.6240,0.0008,0.0067,0.0030,0.1682,0.0008
fetch_amplifier,fetch_b64_d1_bp1_s8_r1000,64,64,1,1,8,1000,linear,1,982461737,1297157821,264042185,28030135,727040897,7137,566204319,834,7135,3773,140454,591,1.3203,0.0000,0.0000,0.5288,0.0042,203.5544,21.6089,560.4876,0.0055,436.4961,0.0006,0.0055,0.0029,0.1083,0.0005
fetch_amplifier,fetch_b64_d1_bp2_s8_r1000,64,64,1,2,8,1000,linear,1,991880476,1297162248,328042980,28409748,739096459,4814,564799390,995,4812,3775,2815,948,1.3078,0.0000,0.0000,0.7845,0.3368,252.8928,21.9015,569.7795,0.0037,435.4115,0.0008,0.0037,0.0029,0.0022,0.0007
fetch_amplifier,fetch_b64_d1_bp3_s8_r1000,64,64,1,3,8,1000,linear,1,979521886,1297180670,392046200,27908416,735840844,5264,560702032,826,5260,3702,2235,786,1.3243,0.0000,0.0000,0.7038,0.3517,302.2294,21.5147,567.2616,0.0041,432.2467,0.0006,0.0041,0.0029,0.0017,0.0006
