module,case,size,branch_pairs_per_unit,region_reps,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
hot_region_loop,hot_s4096_b0_r1000,4096,0,1000,1,132387169,1047155549,9041777,3089,73097623,4141,71077183,428,4131,3554,557,393,7.9098,0.0001,0.0000,0.8603,0.7056,8.6346,0.0029,69.8059,0.0040,67.8764,0.0004,0.0039,0.0034,0.0005,0.0004
hot_region_loop,hot_s4096_b1_r1000,4096,1,1000,1,132366783,1047153397,73041392,3103,73126194,4798,71078017,342,4795,3792,468,298,7.9110,0.0001,0.0000,0.7908,0.6368,69.7523,0.0030,69.8333,0.0046,67.8774,0.0003,0.0046,0.0036,0.0004,0.0003
hot_region_loop,hot_s4096_b2_r1000,4096,2,1000,1,132393326,1047153395,137041391,3062,73106679,3884,71078826,241,3809,3409,364,195,7.9094,0.0001,0.0000,0.8950,0.5357,130.8704,0.0029,69.8147,0.0037,67.8781,0.0002,0.0036,0.0033,0.0003,0.0002
hot_region_loop,hot_s4096_b3_r1000,4096,3,1000,1,132393054,1047153339,201041380,3051,73112572,4062,71075591,259,4058,3550,346,224,7.9094,0.0001,0.0000,0.8748,0.6474,191.9885,0.0029,69.8203,0.0039,67.8751,0.0002,0.0039,0.0034,0.0003,0.0002
hot_region_loop,hot_s4096_b4_r1000,4096,4,1000,1,132399636,1047153395,265041392,3077,73111806,4138,71084109,287,4136,3522,380,252,7.9090,0.0001,0.0000,0.8515,0.6632,253.1066,0.0029,69.8196,0.0040,67.8832,0.0003,0.0039,0.0034,0.0004,0.0002
hot_region_loop,hot_s8192_b0_r1000,8192,0,1000,1,260663456,2071155618,9041790,3146,137156557,5145,135078161,452,5140,3681,573,419,7.9457,0.0000,0.0000,0.7161,0.7312,4.3656,0.0015,66.2222,0.0025,65.2187,0.0002,0.0025,0.0018,0.0003,0.0002
hot_region_loop,hot_s8192_b1_r1000,8192,1,1000,1,260399110,2071159975,137042573,3163,137171220,5991,135080037,451,5990,3748,579,406,7.9538,0.0000,0.0000,0.6257,0.7012,66.1671,0.0015,66.2292,0.0029,65.2195,0.0002,0.0029,0.0018,0.0003,0.0002
hot_region_loop,hot_s8192_b2_r1000,8192,2,1000,1,260386672,2071153337,265041379,3056,137154486,4759,135084499,449,4756,3715,606,406,7.9541,0.0000,0.0000,0.7811,0.6700,127.9680,0.0015,66.2213,0.0023,65.2219,0.0002,0.0023,0.0018,0.0003,0.0002
hot_region_loop,hot_s8192_b3_r1000,8192,3,1000,1,260392723,2071153332,393041379,3042,137156015,5150,135079696,535,5147,3764,696,494,7.9540,0.0000,0.0000,0.7313,0.7098,189.7693,0.0015,66.2220,0.0025,65.2196,0.0003,0.0025,0.0018,0.0003,0.0002
hot_region_loop,hot_s8192_b4_r1000,8192,4,1000,1,260433530,2071155545,521041776,3375,137141467,4290,135105048,383,4286,3694,490,288,7.9527,0.0000,0.0000,0.8619,0.5878,251.5706,0.0016,66.2150,0.0021,65.2317,0.0002,0.0021,0.0018,0.0002,0.0001
