module,case,funcs,lines_per_page,region_reps,mode,direct_run_len,pos,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,ipc,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki
itlb,itlb_f256_l1_r1,256,1,1,chain,0,1,10682916,4278396,307396,1057,2901043,2322676,2887037,257201,2321196,572436,258158,1412,0.4005,0.8006,0.0891,0.2466,0.0055,71.8484,0.2471,678.0679,542.8848,674.7942,60.1162,542.5388,133.7969,60.3399,0.3300
itlb,itlb_f256_l4_r1,256,4,1,chain,0,1,16020379,16566345,307385,1049,3954532,3282208,3950094,257199,3258575,1044046,257949,1867,1.0341,0.8300,0.0651,0.3204,0.0072,18.5548,0.0633,238.7088,198.1251,238.4409,15.5254,196.6985,63.0221,15.5707,0.1127
itlb,itlb_f256_l8_r1,256,8,1,chain,0,1,17209326,32950401,307396,1048,4885621,4194178,4830137,257192,4172528,989550,257482,871,1.9147,0.8585,0.0532,0.2372,0.0034,9.3291,0.0318,148.2720,127.2876,146.5881,7.8054,126.6306,30.0315,7.8142,0.0264
itlb,itlb_f512_l1_r1,512,1,1,chain,0,1,28592000,8374349,563386,1097,7426725,6273443,7336381,515340,6244343,3210401,516368,1299,0.2929,0.8447,0.0702,0.5141,0.0025,67.2752,0.1310,886.8421,749.1261,876.0539,61.5379,745.6512,383.3613,61.6607,0.1551
itlb,itlb_f512_l4_r1,512,4,1,chain,0,1,43018670,32950345,563385,1090,9658424,8469123,9753196,513363,8363988,4915717,513803,1916,0.7660,0.8769,0.0526,0.5877,0.0037,17.0980,0.0331,293.1206,257.0268,295.9968,15.5799,253.8361,149.1856,15.5933,0.0581
itlb,itlb_f512_l8_r1,512,8,1,chain,0,1,51887050,65718345,563385,1136,11672091,10418815,11695917,509713,10185392,5992752,509944,3805,1.2666,0.8926,0.0436,0.5884,0.0075,8.5727,0.0173,177.6078,158.5374,177.9704,7.7560,154.9855,91.1884,7.7595,0.0579
itlb,itlb_f1024_l1_r1,1024,1,1,chain,0,1,70418547,16566405,1075397,1128,16079164,13639686,15971689,1027742,13422171,10304675,1028305,15743,0.2353,0.8483,0.0643,0.7677,0.0153,64.9143,0.0681,970.5886,823.3341,964.1011,62.0377,810.2042,622.0224,62.0717,0.9503
itlb,itlb_f1024_l4_r1,1024,4,1,chain,0,1,97851107,65718340,1075384,1114,20544583,18160754,20510263,1025190,17611874,13983467,1025768,17231,0.6716,0.8840,0.0500,0.7940,0.0168,16.3635,0.0170,312.6157,276.3423,312.0934,15.5998,267.9902,212.7788,15.6086,0.2622
itlb,itlb_f1024_l8_r1,1024,8,1,chain,0,1,113772461,131254343,1075381,1189,24393019,21895353,24373231,1025219,20973682,16550399,1025889,21947,1.1537,0.8976,0.0421,0.7891,0.0214,8.1931,0.0091,185.8454,166.8162,185.6947,7.8109,159.7942,126.0941,7.8160,0.1672
itlb,itlb_f2048_l1_r1,2048,1,1,chain,0,1,159630482,32952613,2099788,1204,32376673,27458951,32186991,2046629,26926011,23881530,2048468,340261,0.2064,0.8481,0.0636,0.8869,0.1661,63.7214,0.0365,982.5222,833.2860,976.7660,62.1082,817.1131,724.7234,62.1641,10.3258
