case,module,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki,params_json
mix_b64_ld1_lin_p128_np1_r100,mixed_region_loop,19107981,10621004,81398,373,1387765,601,1387765,52,602,548,97,16,776041,624409,1506530,660287,1807891,465046,660317,62,464413,905,0.5558,,0.0004,0.0000,0.9103,0.1649,0.8046,0.4383,0.2572,0.0001,0.0019,,7.6639,0.0351,130.6623,0.0566,130.6623,0.0049,0.0567,0.0516,0.0091,0.0015,73.0666,58.7900,141.8444,62.1680,170.2185,43.7855,62.1709,0.0058,43.7259,0.0852,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lin_p128_np4_r100,mixed_region_loop,13889623,10621004,81398,391,1387203,618,1387203,52,621,587,102,23,775808,319211,1063132,175066,1668354,474462,175105,63,473800,3035,0.7647,,0.0004,0.0000,0.9452,0.2255,0.4115,0.1647,0.2844,0.0004,0.0064,,7.6639,0.0368,130.6094,0.0582,130.6094,0.0049,0.0585,0.0553,0.0096,0.0022,73.0447,30.0547,100.0971,16.4830,157.0806,44.6720,16.4867,0.0059,44.6097,0.2858,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lin_p512_np1_r100,mixed_region_loop,29609680,10620952,81392,476,1389359,646,1389359,53,646,599,107,44,776149,640346,1496486,660315,2530319,1282364,660349,148,1281623,2756,0.3587,,0.0005,0.0000,0.9272,0.4112,0.8250,0.4412,0.5068,0.0002,0.0022,,7.6633,0.0448,130.8130,0.0608,130.8130,0.0050,0.0608,0.0564,0.0101,0.0041,73.0772,60.2908,140.8994,62.1710,238.2384,120.7391,62.1742,0.0139,120.6693,0.2595,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lin_p512_np4_r100,mixed_region_loop,21915872,10621004,81398,382,1388313,584,1388313,39,584,548,77,17,776086,374442,1074252,170078,2346853,1139654,170109,297,1138768,20666,0.4846,,0.0004,0.0000,0.9384,0.2208,0.4825,0.1583,0.4856,0.0017,0.0181,,7.6639,0.0360,130.7139,0.0550,130.7139,0.0037,0.0550,0.0516,0.0072,0.0016,73.0709,35.2549,101.1441,16.0134,220.9634,107.3019,16.0163,0.0280,107.2185,1.9458,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lin_p524288_np1_r100,mixed_region_loop,28065817,10620952,81392,386,1389225,592,1389225,40,593,561,98,36,776124,122233,786543,2396,2797046,1145199,2418,1835,1136775,1040959,0.3784,,0.0004,0.0000,0.9460,0.3673,0.1575,0.0030,0.4094,0.7589,0.9157,,7.6633,0.0363,130.8004,0.0557,130.8004,0.0038,0.0558,0.0528,0.0092,0.0034,73.0748,11.5087,74.0558,0.2256,263.3517,107.8245,0.2277,0.1728,107.0314,98.0100,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lin_p524288_np4_r100,mixed_region_loop,26263133,10620952,81392,473,1389525,648,1389525,49,651,602,109,37,776096,123251,782296,784,2663952,1014770,809,677,1013435,958678,0.4044,,0.0005,0.0000,0.9247,0.3394,0.1588,0.0010,0.3809,0.8368,0.9460,,7.6633,0.0445,130.8287,0.0610,130.8287,0.0046,0.0613,0.0567,0.0103,0.0035,73.0722,11.6045,73.6559,0.0738,250.8205,95.5442,0.0762,0.0637,95.4185,90.2629,"{""data_mode"":""linear"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096}"
mix_b64_ld1_lstr_p128_np4_sl5_r100,mixed_region_loop,20206075,10621004,81398,386,1388067,598,1388067,49,600,552,100,18,775966,601922,1496400,660252,1764881,483142,660287,17,482554,2652,0.5256,,0.0004,0.0000,0.9200,0.1800,0.7757,0.4412,0.2738,0.0000,0.0055,,7.6639,0.0363,130.6908,0.0563,130.6908,0.0046,0.0565,0.0520,0.0094,0.0017,73.0596,56.6728,140.8906,62.1647,166.1689,45.4893,62.1680,0.0016,45.4339,0.2497,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":128,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld1_lstr_p512_np4_sl5_r100,mixed_region_loop,28146928,10620952,81392,481,1389484,601,1389484,39,601,561,84,18,776122,640095,1496953,660320,2530807,1284035,660355,53,1283380,7473,0.3773,,0.0004,0.0000,0.9334,0.2143,0.8247,0.4411,0.5074,0.0001,0.0058,,7.6633,0.0453,130.8248,0.0566,130.8248,0.0037,0.0566,0.0528,0.0079,0.0017,73.0746,60.2672,140.9434,62.1715,238.2844,120.8964,62.1747,0.0050,120.8347,0.7036,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":512,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld1_lstr_p524288_np4_sl5_r100,mixed_region_loop,24517066,10621004,81398,399,1388927,603,1388927,49,602,571,100,36,776216,122751,786546,2180,2370652,899039,2213,1539,897679,845390,0.4332,,0.0004,0.0000,0.9485,0.3600,0.1581,0.0028,0.3792,0.6954,0.9418,,7.6639,0.0376,130.7717,0.0568,130.7717,0.0046,0.0567,0.0538,0.0094,0.0034,73.0831,11.5574,74.0557,0.2053,223.2041,84.6473,0.2084,0.1449,84.5192,79.5961,"{""data_mode"":""line_stride"",""ldr_count_per_unit"":1,""lines_per_page"":4,""nodes_per_page"":4,""pages"":524288,""region_reps"":100,""size"":4096,""stride_lines"":5}"
mix_b64_ld1_pstr_p128_np1_sp17_r100,mixed_region_loop,21169512,10621004,81398,395,1388282,641,1388282,51,639,586,93,30,775934,618088,1502455,660247,1818083,535937,660281,18,535328,1053,0.5017,,0.0005,0.0000,0.9171,0.3226,0.7966,0.4394,0.2948,0.0000,0.0020,,7.6639,0.0372,130.7110,0.0604,130.7110,0.0048,0.0602,0.0552,0.0088,0.0028,73.0566,58.1949,141.4607,62.1643,171.1781,50.4601,62.1675,0.0017,50.4028,0.0991,"{""data_mode"":""page_stride"",""ldr_count_per_unit"":1,""lines_per_page"":1,""nodes_per_page"":1,""pages"":128,""region_reps"":100,""size"":4096,""stride_pages"":17}"
