suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn1,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn1,5267824,11275264,1381038,271,1472938,595,1472938,42,594,544,80,11,772305,172,773184,62,1299,869,85,7,316,39,2.1404,,0.0004,0.0000,0.9158,0.1375,0.0002,0.0001,0.6690,0.0824,0.1234,,122.4839,0.0240,130.6345,0.0528,130.6345,0.0037,0.0527,0.0482,0.0071,0.0010,68.4955,0.0153,68.5735,0.0055,0.1152,0.0771,0.0075,0.0006,0.0280,0.0035
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn2,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn2,5266401,11275264,1381038,275,1473021,563,1473021,49,563,532,93,42,772288,146,773120,59,1489,948,82,4,362,56,2.1410,,0.0004,0.0000,0.9449,0.4516,0.0002,0.0001,0.6367,0.0488,0.1547,,122.4839,0.0244,130.6418,0.0499,130.6418,0.0043,0.0499,0.0472,0.0082,0.0037,68.4940,0.0129,68.5678,0.0052,0.1321,0.0841,0.0073,0.0004,0.0321,0.0050
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn4,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l1_sn4,5254509,11275264,1381038,260,1472785,602,1472785,40,599,516,77,11,772124,153,772850,61,1334,852,85,6,311,23,2.1458,,0.0004,0.0000,0.8614,0.1429,0.0002,0.0001,0.6387,0.0706,0.0740,,122.4839,0.0231,130.6209,0.0534,130.6209,0.0035,0.0531,0.0458,0.0068,0.0010,68.4795,0.0136,68.5438,0.0054,0.1183,0.0756,0.0075,0.0005,0.0276,0.0020
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn1,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn1,12941261,13195264,1381038,288,1713074,627,1713074,43,627,556,70,11,2692220,171,2693022,58,1345,888,78,5,322,46,1.0196,,0.0004,0.0000,0.8868,0.1571,0.0001,0.0000,0.6602,0.0641,0.1429,,104.6616,0.0218,129.8249,0.0475,129.8249,0.0033,0.0475,0.0421,0.0053,0.0008,204.0293,0.0130,204.0900,0.0044,0.1019,0.0673,0.0059,0.0004,0.0244,0.0035
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn2,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn2,12931426,13195264,1381038,276,1712933,615,1712933,44,614,550,74,14,2692151,166,2692860,58,1308,772,78,4,248,11,1.0204,,0.0004,0.0000,0.8958,0.1892,0.0001,0.0000,0.5902,0.0513,0.0444,,104.6616,0.0209,129.8142,0.0466,129.8142,0.0033,0.0465,0.0417,0.0056,0.0011,204.0240,0.0126,204.0778,0.0044,0.0991,0.0585,0.0059,0.0003,0.0188,0.0008
merge_module_library,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn4,single,hot_b64_bp2_r1000_hot_2k_nstr_n256_p1_np512_l4_sn4,12931358,13195264,1381038,280,1713139,609,1713139,48,608,535,89,40,2692217,159,2692988,58,1346,905,76,32,315,64,1.0204,,0.0004,0.0000,0.8799,0.4494,0.0001,0.0000,0.6724,0.4211,0.2032,,104.6616,0.0212,129.8298,0.0462,129.8298,0.0036,0.0461,0.0405,0.0067,0.0030,204.0290,0.0120,204.0875,0.0044,0.1020,0.0686,0.0058,0.0024,0.0239,0.0049
merge_module_library,hot_b64_bp2_r1000_hot_2k_rand_n256_p1_np512_l1,single,hot_b64_bp2_r1000_hot_2k_rand_n256_p1_np512_l1,5248980,11275264,1381038,276,1472989,617,1472989,41,616,536,79,11,772245,183,773034,58,1220,827,75,4,299,50,2.1481,,0.0004,0.0000,0.8701,0.1392,0.0002,0.0001,0.6779,0.0533,0.1672,,122.4839,0.0245,130.6390,0.0547,130.6390,0.0036,0.0546,0.0475,0.0070,0.0010,68.4902,0.0162,68.5602,0.0051,0.1082,0.0733,0.0067,0.0004,0.0265,0.0044
merge_module_library,hot_b64_bp2_r1000_hot_2k_rand_n256_p1_np512_l4,single,hot_b64_bp2_r1000_hot_2k_rand_n256_p1_np512_l4,12949720,13195264,1381038,299,1713243,610,1713243,46,609,551,90,14,2692226,187,2693142,69,1417,911,98,34,341,98,1.0190,,0.0004,0.0000,0.9048,0.1556,0.0001,0.0000,0.6429,0.3469,0.2874,,104.6616,0.0227,129.8377,0.0462,129.8377,0.0035,0.0462,0.0418,0.0068,0.0011,204.0297,0.0142,204.0991,0.0052,0.1074,0.0690,0.0074,0.0026,0.0258,0.0074
merge_module_library,hot_b64_bp2_r1000_hot_4k_nstr_n512_p1_np512_l1_sn1,single,hot_b64_bp2_r1000_hot_4k_nstr_n512_p1_np512_l1_sn1,5252553,11275264,1381038,285,1473239,602,1473239,51,601,532,91,43,772322,158,773238,61,1452,981,89,13,378,126,2.1466,,0.0004,0.0000,0.8852,0.4725,0.0002,0.0001,0.6756,0.1461,0.3333,,122.4839,0.0253,130.6612,0.0534,130.6612,0.0045,0.0533,0.0472,0.0081,0.0038,68.4970,0.0140,68.5783,0.0054,0.1288,0.0870,0.0079,0.0012,0.0335,0.0112
merge_module_library,hot_b64_bp2_r1000_hot_4k_nstr_n512_p1_np512_l1_sn2,single,hot_b64_bp2_r1000_hot_4k_nstr_n512_p1_np512_l1_sn2,5251874,11275264,1381038,303,1473121,601,1473121,51,601,573,85,22,772209,167,773063,59,1369,881,77,6,315,13,2.1469,,0.0004,0.0000,0.9534,0.2588,0.0002,0.0001,0.6435,0.0779,0.0413,,122.4839,0.0269,130.6507,0.0533,130.6507,0.0045,0.0533,0.0508,0.0075,0.0020,68.4870,0.0148,68.5627,0.0052,0.1214,0.0781,0.0068,0.0005,0.0279,0.0012
