suite,case,order_tag,modules,cpu-cycles:u,instructions:u,br_retired:u,br_mis_pred:u,l1i_cache:u,l1i_cache_refill:u,l1i_tlb:u,l1i_tlb_refill:u,l2i_cache:u,l2i_cache_refill:u,l2i_tlb:u,l2i_tlb_refill:u,l1d_cache:u,l1d_cache_refill:u,l1d_tlb:u,l1d_tlb_refill:u,l2d_cache:u,l2d_cache_refill:u,l2d_tlb:u,l2d_tlb_refill:u,ll_cache:u,ll_cache_miss:u,ipc, ,l1i_miss_rate,l1i_tlb_miss_rate,l2i_miss_rate,l2i_tlb_miss_rate,l1d_miss_rate,l1d_tlb_miss_rate,l2d_miss_rate,l2d_tlb_miss_rate,ll_miss_rate,  ,br_retired_mpki,br_mis_pred_mpki,l1i_cache_mpki,l1i_cache_refill_mpki,l1i_tlb_mpki,l1i_tlb_refill_mpki,l2i_cache_mpki,l2i_cache_refill_mpki,l2i_tlb_mpki,l2i_tlb_refill_mpki,l1d_cache_mpki,l1d_cache_refill_mpki,l1d_tlb_mpki,l1d_tlb_refill_mpki,l2d_cache_mpki,l2d_cache_refill_mpki,l2d_tlb_mpki,l2d_tlb_refill_mpki,ll_cache_mpki,ll_cache_miss_mpki
combo_linearity,combo_000_s2,single,mix_b128_ld1_indir_p128_lp4_r1000,2755929652,2085063801,8004920,1970,266224777,3744,266224777,39,3760,657,190,16,141083738,119542373,254157391,106258825,354303185,78054426,106410353,21,78052351,1016,0.7566,,0.0000,0.0000,0.1747,0.0842,0.8473,0.4181,0.2203,0.0000,0.0000,,3.8392,0.0009,127.6818,0.0018,127.6818,0.0000,0.0018,0.0003,0.0001,0.0000,67.6640,57.3327,121.8943,50.9619,169.9244,37.4350,51.0346,0.0000,37.4340,0.0005
combo_linearity,combo_000_s2,single,mix_b128_ld14_lin_p512_lp1_r1000,76400168030,2085065116,8005198,3336,268419941,58632,268419941,48,58891,2692,92,31,1808802560,1795769212,3618874168,1798254700,7098561775,3580061110,1798506598,614,3580016529,161176,0.0273,,0.0002,0.0000,0.0457,0.3370,0.9928,0.4969,0.5043,0.0000,0.0000,,3.8393,0.0016,128.7346,0.0281,128.7346,0.0000,0.0282,0.0013,0.0000,0.0000,867.5041,861.2533,1735.6169,862.4453,3404.4797,1717.0021,862.5662,0.0003,1716.9807,0.0773
combo_linearity,combo_000_s2,canonical,mix_b128_ld1_indir_p128_lp4_r1000+mix_b128_ld14_lin_p512_lp1_r1000,88744548603,4170068086,16007195,5846,536703509,133260,536703509,51,133386,15137,160,31,1949852567,1913578883,3869321303,1903286658,7441546022,3672480012,1903566343,25287,3672433816,1754073,0.0470,,0.0002,0.0000,0.1135,0.1938,0.9814,0.4919,0.4935,0.0000,0.0005,,3.8386,0.0014,128.7038,0.0320,128.7038,0.0000,0.0320,0.0036,0.0000,0.0000,467.5829,458.8843,927.8796,456.4162,1784.5143,880.6763,456.4833,0.0061,880.6652,0.4206
combo_linearity,combo_000_s2,shuffle_mixslot6_mix_s8192_l14_mlin_p512_lp1_r1000_mixslot4_mix_s8192_l1_mindir_p128_lp4_r1000,mix_b128_ld14_lin_p512_lp1_r1000+mix_b128_ld1_indir_p128_lp4_r1000,80194013064,4170068029,16007186,4691,536526625,117315,536526625,50,117431,15367,95,37,1950175285,1913378063,3869559709,1903558391,7466408321,3692958826,1903812687,3761,3692909337,1393356,0.0520,,0.0002,0.0000,0.1309,0.3895,0.9811,0.4919,0.4946,0.0000,0.0004,,3.8386,0.0011,128.6614,0.0281,128.6614,0.0000,0.0282,0.0037,0.0000,0.0000,467.6603,458.8362,927.9368,456.4814,1790.4764,885.5872,456.5424,0.0009,885.5753,0.3341
combo_linearity,combo_000_s2,sum,mix_b128_ld1_indir_p128_lp4_r1000+mix_b128_ld14_lin_p512_lp1_r1000,79156097682,4170128917,16010118,5306,534644718,62376,534644718,87,62651,3349,282,47,1949886298,1915311585,3873031559,1904513525,7452864960,3658115536,1904916951,635,3658068880,162192,0.0527,,0.0001,0.0000,0.0535,0.1667,0.9823,0.4917,0.4908,0.0000,0.0000,,3.8392,0.0013,128.2082,0.0150,128.2082,0.0000,0.0150,0.0008,0.0001,0.0000,467.5842,459.2931,928.7558,456.7038,1787.2025,877.2188,456.8005,0.0002,877.2076,0.0389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_001_s2,single,mix_b64_ld4_xpage_p512_lp1_r1000,11154938205,1061063801,8004920,2212,139117291,4601,139117291,45,4612,743,564,24,269625366,256337614,536037812,258421892,1012759858,513082928,258499902,645,513078131,47070,0.0951,,0.0000,0.0000,0.1611,0.0426,0.9507,0.4821,0.5066,0.0000,0.0001,,7.5442,0.0021,131.1111,0.0043,131.1111,0.0000,0.0043,0.0007,0.0005,0.0000,254.1085,241.5855,505.1890,243.5498,954.4759,483.5552,243.6233,0.0006,483.5507,0.0444
combo_linearity,combo_001_s2,single,mix_b128_ld1_pshuf_p128_lp1_r1000,3565082490,2085063795,8004922,2503,266067046,3551,266067046,39,3563,636,74,16,141116461,122801640,277948226,130000069,371040787,114933613,130001498,102,114932176,557,0.5849,,0.0000,0.0000,0.1785,0.2162,0.8702,0.4677,0.3098,0.0000,0.0000,,3.8392,0.0012,127.6062,0.0017,127.6062,0.0000,0.0017,0.0003,0.0000,0.0000,67.6797,58.8959,133.3044,62.3482,177.9518,55.1223,62.3489,0.0000,55.1217,0.0003
combo_linearity,combo_001_s2,canonical,mix_b64_ld4_xpage_p512_lp1_r1000+mix_b128_ld1_pshuf_p128_lp1_r1000,15833987915,3146066786,16006921,4632,404414875,16941,404414875,41,17014,1113,90,29,410666718,377502968,813851704,388440468,1386959740,623295332,388524205,1228,623289239,56115,0.1987,,0.0000,0.0000,0.0654,0.3222,0.9192,0.4773,0.4494,0.0000,0.0001,,5.0879,0.0015,128.5462,0.0054,128.5462,0.0000,0.0054,0.0004,0.0000,0.0000,130.5334,119.9920,258.6886,123.4686,440.8551,198.1189,123.4952,0.0004,198.1170,0.0178
combo_linearity,combo_001_s2,shuffle_mixslot5_mix_s8192_l1_mpshuf_p128_lp1_r1000_mixslot4_mix_s4096_l4_mxpage_p512_lp1_r1000,mix_b128_ld1_pshuf_p128_lp1_r1000+mix_b64_ld4_xpage_p512_lp1_r1000,16482401016,3146066792,16006919,4538,404362996,18823,404362996,50,18877,1167,101,38,410705161,374034688,813742956,388443926,1417621735,632814747,388524837,1118,632806868,142400,0.1909,,0.0000,0.0000,0.0618,0.3762,0.9107,0.4774,0.4464,0.0000,0.0002,,5.0879,0.0014,128.5297,0.0060,128.5297,0.0000,0.0060,0.0004,0.0000,0.0000,130.5456,118.8896,258.6541,123.4697,450.6013,201.1447,123.4954,0.0004,201.1422,0.0453
combo_linearity,combo_001_s2,sum,mix_b64_ld4_xpage_p512_lp1_r1000+mix_b128_ld1_pshuf_p128_lp1_r1000,14720020695,3146127596,16009842,4715,405184337,8152,405184337,84,8175,1379,638,40,410741827,379139254,813986038,388421961,1383800645,628016541,388501400,747,628010307,47627,0.2137,,0.0000,0.0000,0.1687,0.0627,0.9231,0.4772,0.4538,0.0000,0.0001,,5.0887,0.0015,128.7883,0.0026,128.7883,0.0000,0.0026,0.0004,0.0002,0.0000,130.5547,120.5098,258.7263,123.4603,439.8425,199.6157,123.4856,0.0002,199.6137,0.0151
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_002_s2,single,mix_b128_ld1_indir_p1_lp1_r1000,530112979,2085064014,8004982,2251,265040751,974,265040751,38,978,591,838,12,141033728,151,141047587,66,1691,899,91,4,271,39,3.9332,,0.0000,0.0000,0.6043,0.0143,0.0000,0.0000,0.5316,0.0440,0.1439,,3.8392,0.0011,127.1140,0.0005,127.1140,0.0000,0.0005,0.0003,0.0004,0.0000,67.6400,0.0001,67.6466,0.0000,0.0008,0.0004,0.0000,0.0000,0.0001,0.0000
combo_linearity,combo_002_s2,single,mix_b64_ld14_indir_p512_lp4_r1000,38900538635,1061065045,8005188,3196,140113243,12835,140113243,42,12866,1746,191,28,911080557,891505786,1781314315,857294769,3425198718,1645472472,857403584,279,1645399985,27987144,0.0273,,0.0001,0.0000,0.1357,0.1466,0.9785,0.4813,0.4804,0.0000,0.0170,,7.5445,0.0030,132.0496,0.0121,132.0496,0.0000,0.0121,0.0016,0.0002,0.0000,858.6472,840.1990,1678.7984,807.9568,3228.0761,1550.7744,808.0594,0.0003,1550.7061,26.3765
combo_linearity,combo_002_s2,canonical,mix_b128_ld1_indir_p1_lp1_r1000+mix_b64_ld14_indir_p512_lp4_r1000,40174390669,3146068026,16007186,5431,404140415,34781,404140415,44,34845,3890,102,27,1052214337,891365475,1919696409,856340766,3429505775,1652389545,856456117,281,1652323516,15600462,0.0783,,0.0001,0.0000,0.1116,0.2647,0.8471,0.4461,0.4818,0.0000,0.0094,,5.0880,0.0017,128.4589,0.0111,128.4589,0.0000,0.0111,0.0012,0.0000,0.0000,334.4538,283.3268,610.1891,272.1940,1090.0927,525.2237,272.2306,0.0001,525.2027,4.9587
combo_linearity,combo_002_s2,shuffle_mixslot5_mix_s4096_l14_mindir_p512_lp4_r1000_mixslot3_mix_s8192_l1_mindir_p1_lp1_r1000,mix_b64_ld14_indir_p512_lp4_r1000+mix_b128_ld1_indir_p1_lp1_r1000,41262942702,3146068032,16007188,3218,404161770,33033,404161770,50,33116,3968,102,24,1052199692,890870142,1919640008,856332356,3421375594,1644480624,856437166,276,1644403795,23447594,0.0762,,0.0001,0.0000,0.1198,0.2353,0.8467,0.4461,0.4806,0.0000,0.0143,,5.0880,0.0010,128.4657,0.0105,128.4657,0.0000,0.0105,0.0013,0.0000,0.0000,334.4491,283.1694,610.1712,272.1913,1087.5085,522.7098,272.2246,0.0001,522.6854,7.4530
combo_linearity,combo_002_s2,sum,mix_b128_ld1_indir_p1_lp1_r1000+mix_b64_ld14_indir_p512_lp4_r1000,39430651614,3146129059,16010170,5447,405153994,13809,405153994,80,13844,2337,1029,40,1052114285,891505937,1922361902,857294835,3425200409,1645473371,857403675,283,1645400256,27987183,0.0798,,0.0000,0.0000,0.1688,0.0389,0.8473,0.4460,0.4804,0.0000,0.0170,,5.0888,0.0017,128.7786,0.0044,128.7786,0.0000,0.0044,0.0007,0.0003,0.0000,334.4155,283.3660,611.0245,272.4919,1088.7031,523.0152,272.5265,0.0001,522.9920,8.8958
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
combo_linearity,combo_003_s2,single,mix_b64_ld7_pshuf_p1_lp1_r1000,1810090131,1061064014,8004982,2512,137055272,1277,137055272,47,1282,555,98,13,461037606,173,461083393,77,1755,788,103,4,250,58,0.5862,,0.0000,0.0000,0.4329,0.1327,0.0000,0.0000,0.4490,0.0388,0.2320,,7.5443,0.0024,129.1678,0.0012,129.1678,0.0000,0.0012,0.0005,0.0001,0.0000,434.5050,0.0002,434.5481,0.0001,0.0017,0.0007,0.0001,0.0000,0.0002,0.0001
